id_producto;nombre_producto;descripcion;imagen;id_categoria;id_marca;precio;url_tienda
2;Peluche de oso;Peluche de oso, ideal para regalar.;productos/peluche_de_oso.jpg;3;4;117.56;https://mitienda.com/productos/2
3;Caja de chocolates;Caja de chocolates, ideal para regalar.;productos/caja_de_chocolates.jpg;4;7;140.03;https://mitienda.com/productos/3
4;Ramo de flores;Ramo de flores, ideal para regalar.;productos/ramo_de_flores.jpg;5;8;130.83;https://mitienda.com/productos/4
5;Perfume elegante;Perfume elegante, ideal para regalar.;productos/perfume_elegante.jpg;3;2;194.8;https://mitienda.com/productos/5
6;Set de velas aromáticas;Set de velas aromáticas, ideal para regalar.;productos/set_de_velas_aromÃ¡ticas.jpg;4;7;139.84;https://mitienda.com/productos/6
7;Marco de fotos;Marco de fotos, ideal para regalar.;productos/marco_de_fotos.jpg;3;9;40.46;https://mitienda.com/productos/7
8;Agenda 2025;Agenda 2025, ideal para regalar.;productos/agenda_2025.jpg;5;1;163.85;https://mitienda.com/productos/8
9;Botella de vino;Botella de vino, ideal para regalar.;productos/botella_de_vino.jpg;4;7;21.27;https://mitienda.com/productos/9
10;Juego de tú;Juego de te, ideal para regalar.;productos/juego_de_te.jpg;4;4;125.45;https://mitienda.com/productos/10
11;Reloj de pulsera;Reloj de pulsera, ideal para regalar.;productos/reloj_de_pulsera.jpg;2;3;33.66;https://mitienda.com/productos/11
12;Pulsera artesanal;Pulsera artesanal, ideal para regalar.;productos/pulsera_artesanal.jpg;3;8;173.83;https://mitienda.com/productos/12
13;Collar minimalista;Collar minimalista, ideal para regalar.;productos/collar_minimalista.jpg;3;8;62.33;https://mitienda.com/productos/13
14;Figura coleccionable;Figura coleccionable, ideal para regalar.;productos/figura_coleccionable.jpg;5;6;180.15;https://mitienda.com/productos/14
15;Set de lápices de colores;Set de lápices de colores, ideal para regalar.;productos/set_de_lapices_de_colores.jpg;4;1;160.7;https://mitienda.com/productos/15
16;Bolígrafo Premium;Bolígrafo Premium, ideal para regalar.;productos/boligrafo_premium.jpg;5;3;64.17;https://mitienda.com/productos/16
17;Auriculares inalámbricos;Auriculares inalámbricos, ideal para regalar.;productos/auriculares_inalambricos.jpg;3;5;157.97;https://mitienda.com/productos/17
18;Cartera de cuero;Cartera de cuero, ideal para regalar.;productos/cartera_de_cuero.jpg;1;3;116.97;https://mitienda.com/productos/18
19;Bufanda tejida;Bufanda tejida, ideal para regalar.;productos/bufanda_tejida.jpg;4;7;167.92;https://mitienda.com/productos/19
20;Gorro de lana;Gorro de lana, ideal para regalar.;productos/gorro_de_lana.jpg;2;6;94.16;https://mitienda.com/productos/20
21;Manta polar;Manta polar, ideal para regalar.;productos/manta_polar.jpg;3;3;26.38;https://mitienda.com/productos/21
22;Porta llaves;Porta llaves, ideal para regalar.;productos/porta_llaves.jpg;5;8;106.52;https://mitienda.com/productos/22
23;Llaveros divertidos;Llaveros divertidos, ideal para regalar.;productos/llaveros_divertidos.jpg;1;6;36.17;https://mitienda.com/productos/23
24;Lámpara LED;Lámpara LED, ideal para regalar.;productos/lampara_led.jpg;1;2;101.23;https://mitienda.com/productos/24
25;Caja sorpresa;Caja sorpresa, ideal para regalar.;productos/caja_sorpresa.jpg;2;8;43.47;https://mitienda.com/productos/25
26;Suscripción a streaming;Suscripción a streaming, ideal para regalar.;productos/suscripcion_a_streaming.jpg;2;5;25.62;https://mitienda.com/productos/26
27;Tarjeta de regalo;Tarjeta de regalo, ideal para regalar.;productos/tarjeta_de_regalo.jpg;2;7;50.0;https://mitienda.com/productos/27
28;Mini parlante bluetooth;Mini parlante bluetooth, ideal para regalar.;productos/mini_parlante_bluetooth.jpg;2;2;156.63;https://mitienda.com/productos/28
29;Juguete retro;Juguete retro, ideal para regalar.;productos/juguete_retro.jpg;4;4;145.77;https://mitienda.com/productos/29
30;Kit de jardinería;Kit de jardineria, ideal para regalar.;productos/kit_de_jardineria.jpg;1;9;192.8;https://mitienda.com/productos/30
31;Kit de cuidado personal;Kit de cuidado personal, ideal para regalar.;productos/kit_de_cuidado_personal.jpg;5;3;83.37;https://mitienda.com/productos/31
32;Libreta creativa;Libreta creativa, ideal para regalar.;productos/libreta_creativa.jpg;4;1;64.91;https://mitienda.com/productos/32
33;Set de jabones artesanales;Set de jabones artesanales, ideal para regalar.;productos/set_de_jabones_artesanales.jpg;1;1;64.72;https://mitienda.com/productos/33
34;Difusor de aromas;Difusor de aromas, ideal para regalar.;productos/difusor_de_aromas.jpg;4;3;9.98;https://mitienda.com/productos/34
35;Caja gourmet;Caja gourmet, ideal para regalar.;productos/caja_gourmet.jpg;2;6;86.51;https://mitienda.com/productos/35
36;Set de copas;Set de copas, ideal para regalar.;productos/set_de_copas.jpg;5;6;128.05;https://mitienda.com/productos/36
37;Sudadera estampada;Sudadera estampada, ideal para regalar.;productos/sudadera_estampada.jpg;1;8;61.73;https://mitienda.com/productos/37
38;Cojín decorativo;Cojín decorativo, ideal para regalar.;productos/cojin_decorativo.jpg;5;2;164.38;https://mitienda.com/productos/38
39;Figura de cerámica;Figura de cerámica, ideal para regalar.;productos/figura_de_ceramica.jpg;2;7;96.67;https://mitienda.com/productos/39
40;Set de té matcha;Set de te matcha, ideal para regalar.;productos/set_de_te_matcha.jpg;4;3;14.07;https://mitienda.com/productos/40
41;Cámara instantánea;Cámara instantánea, ideal para regalar.;productos/camara_instantanea.jpg;1;9;24.81;https://mitienda.com/productos/41
42;Poster decorativo;Poster decorativo, ideal para regalar.;productos/poster_decorativo.jpg;3;7;155.85;https://mitienda.com/productos/42
43;Puzle 3D;Puzle 3D, ideal para regalar.;productos/puzzle_3d.jpg;3;8;184.97;https://mitienda.com/productos/43
44;Juego de mesa clásico;Juego de mesa clásico, ideal para regalar.;productos/juego_de_mesa_clasico.jpg;1;6;75.49;https://mitienda.com/productos/44
45;Mochila casual;Mochila casual, ideal para regalar.;productos/mochila_casual.jpg;2;1;60.87;https://mitienda.com/productos/45
46;Botella térmica;Botella térmica, ideal para regalar.;productos/botella_termica.jpg;3;3;42.49;https://mitienda.com/productos/46
47;Aurora lamp;Aurora lamp, ideal para regalar.;productos/aurora_lamp.jpg;1;8;159.88;https://mitienda.com/productos/47
48;Mini planta suculenta;Mini planta suculenta, ideal para regalar.;productos/mini_planta_suculenta.jpg;3;8;52.94;https://mitienda.com/productos/48
49;Altavoz inteligente;Altavoz inteligente, ideal para regalar.;productos/altavoz_inteligente.jpg;5;8;140.46;https://mitienda.com/productos/49
50;Experiencia spa;Experiencia spa, ideal para regalar.;productos/experiencia_spa.jpg;2;5;52.78;https://mitienda.com/productos/50
